null,0
(33.7415, -118.2835),88
(33.7415, -118.2857),207
(33.7415, -118.2879),85
(33.7415, -118.2901),48
(33.7415, -118.2923),87
(33.7415, -118.2945),76
(33.7415, -118.2967),2
(33.7415, -118.2989),1
(33.7415, -118.3018),1
(33.7415, -118.3021),14
(33.7415, -118.3034),7
(33.7415, -118.3043),6
(33.7416, -118.3065),7
(33.7416, -118.3086),1
(33.7416, -118.3131),5
(33.7418, -118.3643),2
(33.7419, -118.2651),1
(33.742, -118.2649),1
(33.742, -118.3119),33
(33.742, -118.3139),1
(33.7421, -118.2828),7
(33.7421, -118.3102),12
(33.7421, -118.311),10
(33.7422, -118.2442),7
(33.7423, -118.3196),50
(33.7424, -118.2796),45
(33.7424, -118.2804),47
(33.7424, -118.2813),71
(33.7424, -118.2821),24
(33.7424, -118.2828),8
(33.7424, -118.2835),86
(33.7424, -118.2857),101
(33.7424, -118.2879),67
(33.7424, -118.2901),106
(33.7424, -118.2923),203
(33.7424, -118.2945),71
(33.7424, -118.2967),6
(33.7424, -118.3021),27
(33.7424, -118.3023),4
(33.7424, -118.3024),9
(33.7424, -118.3025),1
(33.7425, -118.3043),23
(33.7425, -118.3065),19
(33.7425, -118.3078),1
(33.7425, -118.3087),1
(33.7426, -118.3195),112
(33.7427, -118.31),3
(33.7429, -118.2654),1
(33.743, -118.2588),8
(33.743, -118.3118),13
(33.7431, -118.3175),15
(33.7432, -118.3135),12
(33.7432, -118.319),3
(33.7433, -118.2796),63
(33.7433, -118.2804),36
(33.7433, -118.2813),124
(33.7433, -118.2821),58
(33.7433, -118.2828),25
(33.7433, -118.2835),132
(33.7433, -118.2857),101
(33.7433, -118.2879),152
(33.7433, -118.2882),1
(33.7433, -118.2901),68
(33.7433, -118.2915),1
(33.7433, -118.2923),247
